CRASH_EVENT_ID	CRASH_ID	SEQ_NO	EVENT_ID	EVENT_OTHER_DESC
6204785	3716266	1	13	
6204786	3716267	1	13	
6204864	3716315	1	1	
6204865	3716315	2	18	
6204866	3716316	1	1	
6204867	3716316	2	18	
6204868	3716316	3	3	
6204869	3716317	1	13	
6204870	3716318	1	1	
6204871	3716318	2	3	
6204872	3716319	1	13	
6204873	3716320	1	13	
6204874	3716320	2	1	
6204875	3716321	1	13	
6204876	3716322	1	1	
6204877	3716322	2	3	
6204878	3716322	3	5	
6204879	3716323	1	13	
6204881	3716324	1	1	
6204882	3716324	2	5	
6204883	3716324	3	18	
6204884	3716324	4	3	
6204885	3716325	1	13	
6204886	3716326	1	13	
6205029	3716343	1	13	
6205031	3716345	1	13	
6205032	3716346	1	13	
6205033	3716347	1	13	
6205041	3716353	1	13	
6205042	3716353	2	1	
6205043	3716353	3	18	
6205046	3716355	1	13	
6205047	3716356	1	1	
6205048	3716356	2	18	
6205049	3716357	1	1	
6205050	3716357	2	8	
6205051	3716357	3	3	
6205052	3716358	1	2	
6204948	3714129	1	13	
6202070	3715102	1	13	
6202072	3715103	1	1	
6202073	3715103	2	18	
6202074	3713319	1	1	
6202075	3713319	2	18	
6202076	3713319	3	18	
6202077	3715104	1	13	
6202078	3713320	1	13	
6202081	3715105	1	13	
6202082	3715106	1	1	
6202083	3715106	2	18	
6202084	3715106	3	10	
6202085	3713322	1	1	
6202086	3713322	2	8	
6202087	3713322	3	18	
6202088	3715107	1	13	
6202089	3713323	1	1	
6202090	3713323	2	18	
6202091	3715108	1	1	
6202092	3715108	2	3	
6202093	3715109	1	1	
6202094	3715109	2	3	
6202102	3715116	1	13	
6202105	3715118	1	18	
6202106	3715118	2	3	
6202107	3715119	1	13	
6202108	3715120	1	13	
6202109	3715121	1	13	
6202111	3715123	1	3	
6202112	3715124	1	13	
6202113	3715125	1	1	
6202114	3715125	2	13	
6202118	3715127	1	13	
6202119	3715128	1	13	
6202130	3715134	1	13	
6202134	3715137	1	6	
6202135	3715138	1	13	
6202136	3715139	1	8	
6202137	3715139	2	13	
6202151	3715146	1	13	
6202152	3715147	1	1	
6202153	3715147	2	18	
6202154	3715148	1	1	
6202155	3715148	2	8	
6202156	3715148	3	1	
6202157	3715148	4	18	
6202158	3715149	1	13	
6202159	3715150	1	13	
6202161	3715152	1	13	
6202162	3715153	1	1	
6202163	3715153	2	18	
6202164	3715153	3	3	
6202165	3715154	1	13	
6202166	3715155	1	8	
6202167	3715155	2	1	
6202168	3715155	3	18	
6202169	3715155	4	3	
6202170	3715156	1	14	
6202172	3715158	1	13	
6202175	3715161	1	13	
6202176	3715162	1	13	
6202177	3715163	1	3	
6202178	3715163	2	18	
6202179	3715164	1	1	
6202180	3715164	2	8	
6202181	3715164	3	3	
6201918	3715013	1	13	
6201919	3715014	1	13	
6201921	3715016	1	18	
6201922	3715017	1	13	
6201924	3715019	1	13	
6201925	3715020	1	14	
6201926	3715021	1	20	
6201929	3715024	1	3	
6201930	3715025	1	14	
6202291	3715231	1	13	
6202293	3715233	1	13	
6202351	3715261	1	1	
6202352	3715261	2	2	
6202353	3715261	3	18	
6202357	3715265	1	13	
6202358	3715266	1	13	
6202360	3715268	1	13	
6202361	3715269	1	13	
6202362	3715270	1	13	
6202366	3715272	1	13	
6202367	3715273	1	13	
6202372	3715275	1	13	
6202373	3715276	1	13	
6202374	3715276	2	10	
6202375	3715277	1	14	
6202376	3715278	1	1	
6202377	3715278	2	18	
6202378	3715279	1	13	
6202379	3715280	1	13	
6202380	3715281	1	13	
6202381	3715282	1	18	
6202382	3715282	2	3	
6202383	3715282	3	18	
6202388	3715284	1	13	
6202389	3715285	1	11	
6202390	3715286	1	13	
